x,y,z
1.05509,0.17554,0.03021
1.04583,0.170308,0.0298092
1.06617,0.169682,0.0306109
1.06675,0.16596,0.0306109
1.07227,0.162957,0.0308113
1.07283,0.159213,0.0308113
1.07338,0.155467,0.0308113
1.07887,0.15239,0.0310117
1.07939,0.148623,0.0310117
1.07991,0.144854,0.0310117
1.0804,0.141084,0.0310117
1.08089,0.137311,0.0310117
1.08136,0.133538,0.0310117
1.08182,0.129762,0.0310117
1.08723,0.126534,0.0312121
1.09264,0.12327,0.0314125
1.09803,0.11997,0.0316129
1.10341,0.116631,0.0318134
1.10883,0.112874,0.0320138
1.11419,0.109463,0.0322142
1.11954,0.106016,0.0324146
1.1199,0.102108,0.0324146
1.11527,0.0977896,0.0322142
1.11561,0.0938957,0.0322142
1.11095,0.0896269,0.0320138
1.11125,0.0857491,0.0320138
1.10158,0.0811915,0.0316129
1.11182,0.0779885,0.0320138
1.11209,0.0741073,0.0320138
1.07244,0.0679314,0.0304105
1.06863,0.0452746,0.03021
1.12371,0.0433563,0.0324146
1.11886,0.0392865,0.0322142
1.114,0.035251,0.0320138
1.11412,0.0313619,0.0320138
1.11422,0.027473,0.0320138
1.11431,0.0235831,0.0320138
1.11438,0.0196936,0.0320138
1.11444,0.0158038,0.0320138
1.11949,0.0119385,0.0322142
1.11952,0.00803042,0.0322142
1.11954,0.0041228,0.0322142
1.11456,0.000241854,0.0320138
1.11455,-0.00364867,0.0320138
1.10954,-0.00747725,0.0318134
1.1095,-0.0113502,0.0318134
1.10446,-0.0151262,0.0316129
1.1044,-0.0189814,0.0316129
1.09933,-0.0227047,0.0314125
1.09925,-0.026542,0.0314125
1.10414,-0.0305455,0.0316129
1.10902,-0.0345834,0.0318134
1.11389,-0.0386557,0.0320138
1.11874,-0.0427625,0.0322142
1.12357,-0.0469036,0.0324146
1.1234,-0.0508253,0.0324146
1.12321,-0.0547463,0.0324146
1.13798,-0.0595321,0.0330158
1.12592,-0.090428,0.032615
1.13057,-0.0948026,0.0328154
1.11994,-0.101734,0.0324146
1.11958,-0.105642,0.0324146
1.11423,-0.109035,0.0322142
1.11344,-0.116811,0.0322142
1.11799,-0.121264,0.0324146
1.11756,-0.125166,0.0324146
1.12208,-0.129667,0.032615
1.12162,-0.133583,0.032615
1.1261,-0.138133,0.0328154
1.12561,-0.142063,0.0328154
1.12511,-0.145991,0.0328154
1.12459,-0.149918,0.0328154
1.12406,-0.153842,0.0328154
1.11857,-0.157043,0.032615
1.11308,-0.160207,0.0324146
1.10757,-0.163335,0.0322142
1.107,-0.1672,0.0322142
1.10641,-0.171063,0.0322142
1.10087,-0.174116,0.0320138
1.10026,-0.17796,0.0320138
1.09957,-0.182181,0.0320138
1.10384,-0.18688,0.0322142
1.09827,-0.189853,0.0320138
1.0976,-0.193686,0.0320138
1.09692,-0.197516,0.0320138
1.09622,-0.201344,0.0320138
1.09551,-0.205169,0.0320138
1.09479,-0.208992,0.0320138
1.09405,-0.212812,0.0320138
1.10074,-0.230166,0.0324146
1.10792,0.0410613,0.0510431
1.10806,0.0371934,0.0510431
1.10818,0.0333256,0.0510431
1.11328,0.0296153,0.0513338
1.11337,0.0257293,0.0513338
1.11346,0.021843,0.0513338
1.10854,0.0178496,0.0510431
1.10859,0.0139797,0.0510431
1.10364,0.0100387,0.0507524
1.10367,0.00618642,0.0507524
1.10369,0.00233357,0.0507524
1.10868,-0.00149964,0.0510431
1.10867,-0.00536993,0.0510431
1.10864,-0.00923966,0.0510431
1.1086,-0.0131095,0.0510431
1.10855,-0.0169792,0.0510431
1.10848,-0.0208486,0.0510431
1.1084,-0.0247178,0.0510431
1.10831,-0.0285867,0.0510431
