x,y,z
1.31788,0.238984,0.0410324
1.30886,0.23268,0.0406316
1.31538,0.224353,0.040832
1.31122,0.218961,0.0406316
1.31692,0.215165,0.040832
1.31766,0.210567,0.040832
1.32332,0.206714,0.0410324
1.32898,0.202824,0.0412329
1.33463,0.198898,0.0414333
1.34026,0.194934,0.0416337
1.35083,0.191611,0.0420345
1.35644,0.187557,0.0422349
1.36204,0.183465,0.0424353
1.36268,0.17871,0.0424353
1.35833,0.173342,0.0422349
1.35455,0.16328,0.0420345
1.35511,0.158551,0.0420345
1.35565,0.15382,0.0420345
1.35618,0.149086,0.0420345
1.3219,0.140811,0.0406316
1.33325,0.127869,0.0410324
1.34862,0.124522,0.0416337
1.39883,0.124004,0.0436378
1.37934,0.117514,0.0428362
1.3897,0.113467,0.043237
1.37514,0.107514,0.0426358
1.36554,0.102016,0.0422349
1.36589,0.097248,0.0422349
1.36622,0.0924792,0.0422349
1.37152,0.0880071,0.0424353
1.37681,0.0834991,0.0426358
1.37709,0.0786922,0.0426358
1.37262,0.0688489,0.0424353
1.36786,0.0638473,0.0422349
1.36308,0.0588792,0.0420345
1.35829,0.0539459,0.0418341
1.35364,0.0443216,0.0416337
1.35378,0.0395965,0.0416337
1.35391,0.0348704,0.0416337
1.35902,0.0302318,0.0418341
1.36411,0.0255587,0.0420345
1.39916,0.0211695,0.0434374
1.34427,0.0158917,0.0412329
1.36435,-0.00301467,0.0420345
1.40929,-0.00824011,0.0438382
1.40925,-0.0131594,0.0438382
1.38922,-0.0177333,0.0430366
1.38415,-0.0224787,0.0428362
1.37408,-0.0270678,0.0424353
1.36898,-0.0317254,0.0422349
1.37885,-0.036816,0.0426358
1.3887,-0.0419758,0.0430366
1.39853,-0.0472048,0.0434374
1.40834,-0.052503,0.0438382
1.41314,-0.0576444,0.0440387
1.41293,-0.0625769,0.0440387
1.40771,-0.0672479,0.0438382
1.40248,-0.0718833,0.0436378
1.39723,-0.076483,0.0434374
1.39696,-0.0813598,0.0434374
1.39168,-0.0859054,0.043237
1.39137,-0.0907627,0.043237
1.39105,-0.0956189,0.043237
1.3907,-0.100474,0.043237
1.39034,-0.105328,0.043237
1.38997,-0.11018,0.043237
1.3846,-0.114597,0.0430366
1.38419,-0.11943,0.0430366
1.37879,-0.123791,0.0428362
1.38332,-0.12909,0.0430366
1.36795,-0.132406,0.0424353
1.38686,-0.144107,0.043237
1.35243,0.0476126,0.0652871
1.3875,0.0441471,0.067322
1.38765,0.0393031,0.067322
1.38279,0.0343148,0.0670313
1.38789,0.0296152,0.067322
1.38798,0.0247701,0.067322
1.39305,0.0200176,0.0676127
1.3981,0.0152293,0.0679034
1.39815,0.0103492,0.0679034
1.40317,0.00550909,0.0681941
1.40318,0.000610725,0.0681941
1.40317,-0.00428765,0.0681941
1.39816,-0.00917594,0.0679034
1.39811,-0.0145415,0.0679034
1.39306,-0.019373,0.0676127
1.39298,-0.0242356,0.0676127
1.39788,-0.0291815,0.0679034
1.36284,-0.0333534,0.0658685
1.40195,-0.0586382,0.0681941
1.40174,-0.0635316,0.0681941
1.39154,-0.0679783,0.0676127
1.39129,-0.0728353,0.0676127
1.39103,-0.0776913,0.0676127
1.39075,-0.0825464,0.0676127
1.39045,-0.0874005,0.0676127
1.39014,-0.0922536,0.0676127
1.39479,-0.0974329,0.0679034
1.39444,-0.102301,0.0679034
1.39407,-0.107168,0.0679034
1.39867,-0.112413,0.0681941
1.39827,-0.117294,0.0681941
1.39785,-0.122175,0.0681941
1.39741,-0.127053,0.0681941
1.39696,-0.13193,0.0681941
1.39649,-0.136806,0.0681941
1.39601,-0.14168,0.0681941
1.34873,0.258254,0.0664499
1.34962,0.253546,0.0664499
1.36031,0.250683,0.0670313
1.36117,0.245932,0.0670313
1.35711,0.240289,0.0667406
1.35794,0.235551,0.0667406
1.35384,0.229952,0.0664499
1.35463,0.225225,0.0664499
1.35541,0.220495,0.0664499
1.35617,0.215763,0.0664499
1.35692,0.211028,0.0664499
1.35765,0.20629,0.0664499
1.35836,0.201549,0.0664499
1.36893,0.198279,0.0670313
1.30725,0.170474,0.0632523
1.36723,0.173708,0.0667406
1.37773,0.170199,0.067322
1.37336,0.164774,0.0670313
1.36897,0.15938,0.0667406
1.37448,0.155182,0.0670313
1.3115,0.133907,0.0632523
1.37155,0.135464,0.0667406
